Gender,Board_SSC,Board_HSC,Stream_HSC,Course_Degree,Specialization_MBA
1,ICSE,ISC,Commerce,Management,Marketing & Finance
1,Others,Others,Science,Computer Applications,Marketing & Finance
0,Others,Others,Arts,Arts,Marketing & HR
1,Others,Others,Commerce,Management,Marketing & HR
0,Others,CBSE,Arts,Management,Marketing & Finance
1,Others,Others,Commerce,Management,Marketing & HR
0,Others,Others,Commerce,Commerce,Marketing & Finance
1,Others,Others,Commerce,Management,Marketing & Finance
1,ICSE,ISC,Commerce,Management,Marketing & Finance
1,Others,Others,Commerce,Commerce,Marketing & Finance
0,ICSE,Others,Commerce,Commerce,Marketing & HR
1,Others,Others,Commerce,Commerce,Marketing & HR
1,Others,Others,Science,Science,Marketing & Finance
1,Others,Others,Science,Engineering,Marketing & Finance
0,Others,Others,Commerce,Management,Marketing & Finance
1,Others,Others,Science,Management,Marketing & Finance
1,ICSE,CBSE,Science,Others,Marketing & HR
1,Others,Others,Commerce,Management,Marketing & Finance
1,Others,Others,Science,Management,Marketing & HR
1,Others,Others,Science,Management,Marketing & HR
0,ICSE,ISC,Commerce,Management,Marketing & Finance
1,ICSE,ISC,Commerce,Management,Marketing & Finance
1,Others,Others,Commerce,Commerce,Marketing & HR
0,ICSE,ISC,Commerce,Management,Marketing & Finance
1,ICSE,Others,Science,Engineering,Marketing & HR
1,CBSE,CBSE,Commerce,Commerce,Marketing & Finance
1,Others,ISC,Science,Computer Applications,Marketing & Finance
1,CBSE,CBSE,Commerce,Management,Marketing & Finance
0,Others,ISC,Commerce,Management,Marketing & HR
1,Others,Others,Arts,Arts,Marketing & Finance
0,ICSE,ISC,Commerce,Commerce,Marketing & Finance
1,CBSE,CBSE,Commerce,Management,Marketing & Finance
1,Others,Others,Commerce,Management,Marketing & Finance
1,ICSE,ISC,Commerce,Commerce,Marketing & Finance
1,CBSE,CBSE,Commerce,Commerce,Marketing & Finance
1,Others,Others,Commerce,Commerce,Marketing & Finance
1,CBSE,ISC,Science,Engineering,Marketing & HR
1,ICSE,ISC,Commerce,Management,Marketing & Finance
0,Others,CBSE,Commerce,Management,Marketing & Finance
0,CBSE,CBSE,Science,Management,Marketing & Finance
1,Others,CBSE,Science,Others,Marketing & Finance
0,Others,Others,Science,Management,Marketing & HR
1,CBSE,CBSE,Science,Management,Marketing & Finance
1,CBSE,CBSE,Commerce,Management,Marketing & Finance
1,Others,Others,Arts,Computer Applications,Marketing & Finance
0,Others,Others,Science,Science,Marketing & Finance
0,CBSE,Others,Science,Management,Marketing & HR
0,ICSE,ISC,Commerce,Commerce,Marketing & Finance
0,Others,Others,Science,Management,Marketing & Finance
1,Others,Others,Commerce,Engineering,Marketing & Finance
1,Others,Others,Science,Management,Marketing & Finance
1,CBSE,CBSE,Commerce,Management,Marketing & Finance
1,Others,Others,Commerce,Management,Marketing & HR
1,Others,Others,Science,Science,Marketing & HR
1,Others,Others,Science,Management,Marketing & Finance
1,CBSE,CBSE,Commerce,Management,Marketing & HR
1,Others,Others,Science,Engineering,Marketing & Finance
1,CBSE,CBSE,Commerce,Commerce,Marketing & Finance
1,Others,Others,Commerce,Commerce,Marketing & HR
1,CBSE,ISC,Science,Science,Marketing & HR
1,CBSE,CBSE,Arts,Management,Marketing & Finance
1,Others,Others,Science,Engineering,Marketing & Finance
1,Others,Others,Science,Commerce,Marketing & HR
1,Others,Others,Commerce,Commerce,Marketing & Finance
0,ICSE,Others,Commerce,Commerce,Marketing & Finance
1,Others,Others,Science,Computer Applications,Marketing & Finance
0,ICSE,ISC,Commerce,Commerce,Marketing & Finance
1,Others,Others,Science,Engineering,Marketing & Finance
1,Others,Others,Commerce,Commerce,Marketing & HR
1,Others,Others,Science,Science,Marketing & Finance
1,Others,Others,Science,Computer Applications,Marketing & Finance
1,Others,Others,Science,Arts,Marketing & HR
1,CBSE,CBSE,Commerce,Commerce,Marketing & Finance
1,ICSE,Others,Commerce,Commerce,Marketing & Finance
1,Others,Others,Science,Computer Applications,Marketing & Finance
0,Others,Others,Science,Others,Marketing & HR
0,CBSE,Others,Science,Management,Marketing & HR
1,CBSE,CBSE,Commerce,Commerce,Marketing & Finance
1,Others,Others,Commerce,Commerce,Marketing & Finance
1,CBSE,CBSE,Commerce,Management,Marketing & HR
0,Others,Others,Science,Management,Marketing & HR
0,Others,Others,Commerce,Commerce,Marketing & Finance
1,ICSE,ISC,Commerce,Commerce,Marketing & Finance
1,ICSE,Others,Science,Science,Marketing & HR
0,ICSE,Others,Commerce,Commerce,Marketing & Finance
1,CBSE,CBSE,Science,Management,Marketing & Finance
1,CBSE,CBSE,Commerce,Management,Marketing & HR
1,CBSE,CBSE,Commerce,Management,Marketing & Finance
1,ICSE,Others,Commerce,Commerce,Marketing & Finance
1,CBSE,CBSE,Science,Management,Marketing & Finance
0,CBSE,CBSE,Commerce,Management,Marketing & HR
1,CBSE,Others,Science,Engineering,Marketing & Finance
1,CBSE,CBSE,Commerce,Commerce,Marketing & Finance
1,CBSE,CBSE,Commerce,Commerce,Marketing & Finance
0,CBSE,CBSE,Commerce,Management,Marketing & Finance
1,CBSE,Others,Commerce,Commerce,Marketing & Finance
1,CBSE,CBSE,Science,Engineering,Marketing & HR
1,CBSE,CBSE,Commerce,Commerce,Marketing & HR
0,CBSE,Others,Science,Management,Marketing & HR
1,Others,Others,Science,Computer Applications,Marketing & Finance
1,ICSE,ISC,Commerce,Commerce,Marketing & Finance
1,CBSE,Others,Science,Engineering,Marketing & Finance
0,ICSE,ISC,Commerce,Commerce,Marketing & Finance
0,ICSE,ISC,Commerce,Commerce,Marketing & Finance
1,CBSE,Others,Commerce,Commerce,Marketing & Finance
0,ICSE,Others,Commerce,Commerce,Marketing & Finance
1,CBSE,Others,Science,Management,Marketing & HR
1,CBSE,CBSE,Commerce,Management,Marketing & Finance
1,Others,Others,Science,Computer Applications,Marketing & HR
1,Others,Others,Commerce,Commerce,Marketing & Finance
0,Others,Others,Science,Management,Marketing & HR
1,Others,Others,Commerce,Management,Marketing & Finance
0,Others,Others,Science,Science,Marketing & Finance
0,Others,Others,Commerce,Management,Marketing & Finance
0,CBSE,Others,Commerce,Commerce,Marketing & Finance
0,Others,Others,Science,Management,Marketing & Finance
1,CBSE,Others,Science,Management,Marketing & HR
1,CBSE,CBSE,Commerce,Commerce,Marketing & Finance
1,Others,Others,Commerce,Management,Marketing & Finance
1,Others,Others,Science,Science,Marketing & HR
1,CBSE,Others,Commerce,Management,Marketing & Finance
0,ICSE,Others,Science,Management,Marketing & HR
0,Others,Others,Commerce,Management,Marketing & HR
1,CBSE,CBSE,Science,Science,Marketing & Finance
0,Others,Others,Commerce,Commerce,Marketing & Finance
0,Others,Others,Commerce,Management,Marketing & Finance
1,Others,Others,Science,Engineering,Marketing & Finance
1,Others,Others,Commerce,Management,Marketing & Finance
0,Others,Others,Commerce,Commerce,Marketing & Finance
1,Others,Others,Science,Science,Marketing & Finance
1,CBSE,CBSE,Science,Science,Marketing & HR
1,Others,Others,Science,Engineering,Marketing & Finance
0,Others,Others,Science,Engineering,Marketing & Finance
0,Others,Others,Science,Engineering,Marketing & IB
0,Others,Others,Arts,Management,Marketing & Finance
0,ICSE,Others,Science,Management,Marketing & HR
1,ICSE,Others,Science,Arts,Marketing & HR
1,Others,Others,Science,Computer Applications,Marketing & HR
0,Others,Others,Commerce,Management,Marketing & HR
0,CBSE,CBSE,Science,Science,Marketing & HR
0,Others,Others,Commerce,Commerce,Marketing & Finance
1,Others,Others,Science,Engineering,Marketing & HR
0,ICSE,CBSE,Science,Arts,Marketing & HR
1,Others,ISC,Science,Management,Marketing & IB
0,Others,Others,Science,Science,Marketing & Finance
1,CBSE,Others,Science,Commerce,Marketing & Finance
1,CBSE,CBSE,Commerce,Management,Marketing & Finance
0,Others,Others,Arts,Arts,Marketing & HR
1,Others,Others,Commerce,Management,Marketing & HR
1,ICSE,Others,Commerce,Computer Applications,Marketing & Finance
0,ICSE,Others,Commerce,Commerce,Marketing & Finance
1,CBSE,Others,Commerce,Commerce,Marketing & Finance
1,CBSE,ISC,Commerce,Management,Marketing & HR
1,Others,Others,Commerce,Management,Marketing & Finance
0,Others,Others,Science,Engineering,Marketing & IB
1,ICSE,CBSE,Commerce,Commerce,Marketing & Finance
1,Others,Others,Commerce,Commerce,Marketing & Finance
1,Others,Others,Commerce,Management,Marketing & HR
1,CBSE,CBSE,Science,Engineering,Marketing & HR
0,CBSE,CBSE,Commerce,Commerce,Marketing & Finance
