Gender,Percent_SSC,Percent_HSC,Percent_Degree,Experience_Yrs,S-TEST,Percentile_ET,S-TEST*SCORE,Percent_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA
1,-0.758889271,-0.489396295,0.411873253,-0.739084236,-2.158790717,-1.757325101,-1.757325101,0.621573414,0.178904436,1.227154352,1.297980225
1,-2.102383739,-1.09770184,-0.243355658,0.719634651,0.4632223,1.010709045,1.010709045,0.14136439,-0.162951174,0.512307157,1.087212124
0,-1.027588164,-2.053610553,-1.007789386,0.719634651,0.4632223,0.33479373,0.33479373,-0.951111141,-0.732710525,-0.345509478,1.087212124
1,-0.490190377,-0.489396295,-0.461765294,-0.739084236,0.4632223,-1.757325101,-1.757325101,-0.316549216,-0.846662395,-0.345509478,1.403364276
0,-0.266274632,0.153669567,0.513433734,-0.739084236,0.4632223,0.206047956,0.206047956,0.448355159,0.976567527,0.083398839,-0.388164587
1,-0.346884301,-0.836999463,-0.407162885,-0.739084236,0.4632223,0.097579641,0.097579641,0.182525164,0.292856306,-1.48926499,-0.704316739
0,1.032436687,0.814115588,2.159150348,-0.739084236,0.4632223,1.300387037,1.300387037,1.269855598,2.002134357,0.655276596,1.614132377
1,-0.938021866,-0.750098671,-0.570970113,-0.739084236,0.4632223,0.399166617,0.399166617,-0.793328176,-0.276903044,0.512307157,-0.80970079
1,-0.923691259,-0.54153677,-0.951002881,0.719634651,0.4632223,-1.018646222,-1.018646222,-0.626970049,-0.618758655,-0.917387234,0.033371616
1,-2.147166888,-0.303428599,-1.18579324,0.719634651,0.4632223,-0.397125997,-0.397125997,-0.059294381,-0.504806784,-0.631448356,-0.388164587
0,-0.042358888,0.553413211,2.213752757,-0.739084236,0.4632223,0.624471722,0.624471722,0.916558958,0.634711916,-0.631448356,-0.072012435
1,1.748967069,1.770024302,0.084258798,-0.739084236,0.4632223,1.300387037,1.300387037,0.213395744,0.862615657,-1.346295551,0.771059971
1,0.853304091,0.727214796,0.848692527,-0.739084236,0.4632223,0.817590383,0.817590383,0.925134119,1.432375007,0.655276596,-0.704316739
1,-0.490190377,1.161718756,-0.461765294,0.719634651,0.4632223,0.463539504,0.463539504,-0.686996177,-0.390854914,1.51309323,-0.282780536
0,0.584605197,0.553413211,0.63028289,2.178353538,0.4632223,0.817590383,0.817590383,1.034896182,2.685845578,0.226368278,0.876444022
1,1.122002984,-1.228053028,0.084258798,-0.739084236,0.4632223,-0.130944108,-0.130944108,-0.369715215,1.090519397,-1.346295551,-0.915084841
1,0.011380891,-0.836999463,0.084258798,-0.739084236,0.4632223,0.656658165,0.656658165,-0.441746568,-0.162951174,-0.202540039,-0.282780536
1,-1.072371313,-0.889139938,-0.875651556,0.719634651,-2.158790717,-1.757325101,-1.757325101,1.774075073,1.432375007,1.51309323,-1.020468891
1,0.289036414,-0.836999463,-0.461765294,-0.739084236,0.4632223,-0.469867359,-0.469867359,-0.464041987,-0.846662395,-1.203326112,-0.704316739
1,-0.758889271,-0.836999463,-0.461765294,-0.739084236,0.4632223,0.495725948,0.495725948,0.029887295,-0.732710525,0.369337718,0.349523768
0,1.122002984,1.335520341,2.563208176,0.719634651,0.4632223,1.300387037,1.300387037,1.058906633,1.660278747,1.51309323,1.087212124
1,-0.848455569,-1.010801047,-1.335403842,0.719634651,0.4632223,0.753217496,0.753217496,-1.218656169,-1.188518005,0.941215474,-1.442005094
1,-0.707836481,1.65357724,0.073338316,0.719634651,0.4632223,0.049943704,0.049943704,0.743340703,0.976567527,-1.48926499,-0.072012435
0,1.748967069,2.030726678,1.2855118,-0.739084236,0.4632223,0.817590383,0.817590383,1.81009075,2.116086227,-0.202540039,-0.072012435
1,-0.042358888,0.466512419,-0.352560476,-0.739084236,0.4632223,0.978522601,0.978522601,-1.090028751,-0.732710525,-0.631448356,-0.80970079
1,-1.296287058,-0.576297087,-0.570970113,-0.739084236,0.4632223,-0.023119522,-0.023119522,-1.146624815,0.178904436,-0.631448356,-0.072012435
1,-0.758889271,-1.879808969,-0.461765294,2.178353538,-2.158790717,-1.757325101,-1.757325101,-1.745171063,-1.188518005,-2.204112185,-1.020468891
1,0.315906304,0.987917172,1.831535892,-0.739084236,0.4632223,0.88196327,0.88196327,-0.208502185,0.520760046,1.227154352,-0.80970079
0,1.354875359,2.030726678,0.996119031,-0.739084236,0.4632223,1.419155013,1.419155013,1.393337918,1.204471267,-0.202540039,-0.493548638
1,-0.669322973,0.814115588,-0.461765294,0.719634651,0.4632223,0.656658165,0.656658165,-0.316549216,-0.846662395,-0.202540039,-0.282780536
0,-0.758889271,0.727214796,0.957897345,-0.739084236,0.4632223,-0.373308028,-0.373308028,-0.501772696,-0.276903044,0.655276596,-0.388164587
1,-0.938021866,0.292710835,-0.243355658,-0.739084236,0.4632223,0.399166617,0.399166617,-0.885939916,-0.846662395,0.369337718,0.981828073
1,0.91331351,-0.325153797,0.375835663,-0.739084236,0.4632223,1.107268375,1.107268375,-0.217077346,-0.960614265,-0.488478917,-0.493548638
1,0.925852792,1.015725426,-1.637901189,-0.739084236,0.4632223,0.914149714,0.914149714,-1.421029972,-0.732710525,-1.203326112,-1.231236993
1,-0.400624079,-0.31559471,1.067102163,-0.739084236,0.4632223,0.914149714,0.914149714,-0.477762245,-0.618758655,0.798246035,0.349523768
1,-0.579756675,-0.793549067,-1.460989383,-0.739084236,-2.158790717,-1.757325101,-1.757325101,0.211680711,-0.618758655,-0.202540039,0.876444022
1,-0.311057781,-0.750098671,-1.007789386,0.719634651,0.4632223,0.366980173,0.366980173,-0.38172044,-0.960614265,-0.488478917,0.244139718
1,-0.579756675,-0.402495502,-0.78937975,-0.739084236,-2.158790717,-1.757325101,-1.757325101,-1.124329396,-1.188518005,-1.632234429,-1.547389145
0,0.405472602,1.265999707,0.193463616,-0.739084236,0.4632223,-0.148002923,-0.148002923,0.144794454,0.520760046,-0.774417795,-0.598932688
0,-0.82785532,0.032008458,-0.352560476,-0.739084236,0.4632223,0.560098835,0.560098835,-0.374860311,-0.732710525,0.655276596,-0.177396485
1,-1.117154462,-1.879808969,0.63028289,-0.739084236,0.4632223,0.270420843,0.270420843,-1.791476934,-1.074566135,-2.633020502,-1.547389145
0,0.226340006,-1.010801047,0.193463616,-0.739084236,0.4632223,0.029022516,0.029022516,-0.55836876,-0.390854914,0.798246035,-0.493548638
1,-1.833684845,-1.619106593,0.084258798,-0.739084236,0.4632223,1.364759924,1.364759924,-1.417599907,-0.048999304,-1.48926499,-0.704316739
1,-1.045501424,-0.020132017,-0.505447222,2.178353538,0.4632223,0.903206323,0.903206323,0.460360385,-0.276903044,0.798246035,0.349523768
1,-0.848455569,0.959239911,-0.461765294,2.178353538,0.4632223,-0.148002923,-0.148002923,-0.210217217,-1.074566135,0.083398839,1.614132377
0,0.88913061,-1.010801047,-0.490158547,0.719634651,0.4632223,1.203827706,1.203827706,0.336878064,0.178904436,2.656848742,0.876444022
0,0.226340006,-1.358404216,0.193463616,-0.739084236,0.4632223,0.032241161,0.032241161,0.681599543,0.634711916,1.370123791,-0.282780536
