Gender,Percent_SSC,Percent_HSC,Percent_Degree,Experience_Yrs,S-TEST,Percentile_ET,S-TEST*SCORE,Percent_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA,Stream_HSC_Arts,Stream_HSC_Commerce,Stream_HSC_Science,Board_SSC_CBSE,Board_SSC_ICSE,Board_SSC_Others,Board_HSC_CBSE,Board_HSC_ISC,Board_HSC_Others,Course_Degree_Arts,Course_Degree_Commerce,Course_Degree_Computer Applications,Course_Degree_Engineering,Course_Degree_Management,Course_Degree_Others,Course_Degree_Science,Specialization_MBA_Marketing & Finance,Specialization_MBA_Marketing & HR,Specialization_MBA_Marketing & IB
1,56,58,67,0,0,0,0,65.28,62,77,77,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,41,51,61,1,1,86,86,62.48,59,72,75,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
0,53,40,54,1,1,65,65,56.11,54,66,75,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
1,59,58,59,0,1,0,0,59.81,53,66,78,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
0,61.5,65.4,67.93,0,1,61,61,64.27,69,69,61,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
1,60.6,54,59.5,0,1,57.63,57.63,62.72,63,58,58,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
0,76,73,83,0,1,95,95,69.06,78,73,80,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
1,54,55,58,0,1,67,67,57.03,58,72,57,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
1,54.16,57.4,54.52,1,1,22.95,22.95,58,55,62,65,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,40.5,60.14,52.37,1,1,42.26,42.26,61.31,56,64,61,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
0,64,70,83.5,0,1,74,74,67,66,64,64,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1,84,84,64,0,1,95,95,62.9,68,59,72,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
1,74,72,71,0,1,80,80,67.05,73,73,58,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
1,59,77,59,1,1,69,69,57.65,57,79,62,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
0,71,70,69,2,1,80,80,67.69,84,70,73,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
1,77,49.5,64,0,1,50.53,50.53,59.5,70,59,56,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
1,64.6,54,64,0,1,75,75,59.08,59,67,62,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1,52.5,53.4,55.21,1,0,0,0,72,73,79,55,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
1,67.7,54,59,0,1,40,40,58.95,53,60,58,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
1,56,54,59,0,1,70,70,61.83,54,71,68,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
0,77,79,86.7,1,1,95,95,67.83,75,79,75,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,55,52,51,1,1,78,78,54.55,50,75,51,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,56.57,82.66,63.9,1,1,56.15,56.15,65.99,69,58,64,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
0,84,87,75,0,1,80,80,72.21,79,67,64,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,64,69,60,0,1,85,85,55.3,54,64,57,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1,50,57,58,0,1,53.88,53.88,54.97,62,64,64,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
