Gender,Percent_SSC,Percent_HSC,Percent_Degree,Experience_Yrs,Board_HSC_CBSE,Board_HSC_ISC,Board_HSC_Others,Specialization_MBA_Marketing & Finance,Specialization_MBA_Marketing & HR,Specialization_MBA_Marketing & IB,Stream_HSC_Arts,Stream_HSC_Commerce,Stream_HSC_Science,Board_SSC_CBSE,Board_SSC_ICSE,Board_SSC_Others,Course_Degree_Arts,Course_Degree_Commerce,Course_Degree_Computer Applications,Course_Degree_Engineering,Course_Degree_Management,Course_Degree_Others,Course_Degree_Science
1,-0.758889271,-0.489396295,0.411873253,-0.739084236,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,-2.102383739,-1.09770184,-0.243355658,0.719634651,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
0,-1.027588164,-2.053610553,-1.007789386,0.719634651,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
1,-0.490190377,-0.489396295,-0.461765294,-0.739084236,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,-0.266274632,0.153669567,0.513433734,-0.739084236,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1,-0.346884301,-0.836999463,-0.407162885,-0.739084236,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,1.032436687,0.814115588,2.159150348,-0.739084236,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,-0.938021866,-0.750098671,-0.570970113,-0.739084236,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,-0.923691259,-0.54153677,-0.951002881,0.719634651,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,-2.147166888,-0.303428599,-1.18579324,0.719634651,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
0,-0.042358888,0.553413211,2.213752757,-0.739084236,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1,1.748967069,1.770024302,0.084258798,-0.739084236,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0.853304091,0.727214796,0.848692527,-0.739084236,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,-0.490190377,1.161718756,-0.461765294,0.719634651,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0.584605197,0.553413211,0.63028289,2.178353538,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,1.122002984,-1.228053028,0.084258798,-0.739084236,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0.011380891,-0.836999463,0.084258798,-0.739084236,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1,-1.072371313,-0.889139938,-0.875651556,0.719634651,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0.289036414,-0.836999463,-0.461765294,-0.739084236,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-0.758889271,-0.836999463,-0.461765294,-0.739084236,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,1.122002984,1.335520341,2.563208176,0.719634651,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,-0.848455569,-1.010801047,-1.335403842,0.719634651,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
