ID,Gender,Percent_SSC,Board_SSC,Percent_HSC,Board_HSC,Stream_HSC,Percent_Degree,Course_Degree,Experience_Yrs,Entrance_Test,S-TEST,Percentile_ET,S-TEST*SCORE,Percent_MBA,Specialization_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA
1,M,56,ICSE,58,ISC,Commerce,67,Management,0,,0,0,0,65.28,Marketing & Finance,62,77,77
2,M,41,Others,51,Others,Science,61,Computer Applications,1,MAT,1,86,86,62.48,Marketing & Finance,59,72,75
3,F,53,Others,40,Others,Arts,54,Arts,1,MAT,1,65,65,56.11,Marketing & HR,54,66,75
4,M,59,Others,58,Others,Commerce,59,Management,0,G-MAT,1,0,0,59.81,Marketing & HR,53,66,78
5,F,61.5,Others,65.4,CBSE,Arts,67.93,Management,0,MAT,1,61,61,64.27,Marketing & Finance,69,69,61
6,M,60.6,Others,54,Others,Commerce,59.5,Management,0,MAT,1,57.63,57.63,62.72,Marketing & HR,63,58,58
7,F,76,Others,73,Others,Commerce,83,Commerce,0,MAT,1,95,95,69.06,Marketing & Finance,78,73,80
8,M,54,Others,55,Others,Commerce,58,Management,0,MAT,1,67,67,57.03,Marketing & Finance,58,72,57
9,M,54.16,ICSE,57.4,ISC,Commerce,54.52,Management,1,MAT,1,22.95,22.95,58,Marketing & Finance,55,62,65
10,M,40.5,Others,60.14,Others,Commerce,52.37,Commerce,1,MAT,1,42.26,42.26,61.31,Marketing & Finance,56,64,61
11,F,64,ICSE,70,Others,Commerce,83.5,Commerce,0,MAT,1,74,74,67,Marketing & HR,66,64,64
12,M,84,Others,84,Others,Commerce,64,Commerce,0,MAT,1,95,95,62.9,Marketing & HR,68,59,72
13,M,74,Others,72,Others,Science,71,Science,0,MAT,1,80,80,67.05,Marketing & Finance,73,73,58
14,M,59,Others,77,Others,Science,59,Engineering,1,MAT,1,69,69,57.65,Marketing & Finance,57,79,62
15,F,71,Others,70,Others,Commerce,69,Management,2,MAT,1,80,80,67.69,Marketing & Finance,84,70,73
16,M,77,Others,49.5,Others,Science,64,Management,0,MAT,1,50.53,50.53,59.5,Marketing & Finance,70,59,56
17,M,64.6,ICSE,54,CBSE,Science,64,Others,0,MAT,1,75,75,59.08,Marketing & HR,59,67,62
18,M,52.5,Others,53.4,Others,Commerce,55.21,Management,1,,0,0,0,72,Marketing & Finance,73,79,55
19,M,67.7,Others,54,Others,Science,59,Management,0,MAT,1,40,40,58.95,Marketing & HR,53,60,58
20,M,56,Others,54,Others,Science,59,Management,0,CAT,1,70,70,61.83,Marketing & HR,54,71,68
21,F,77,ICSE,79,ISC,Commerce,86.7,Management,1,K-MAT,1,95,95,67.83,Marketing & Finance,75,79,75
22,M,55,ICSE,52,ISC,Commerce,51,Management,1,MAT,1,78,78,54.55,Marketing & Finance,50,75,51
23,M,56.57,Others,82.66,Others,Commerce,63.9,Commerce,1,MAT,1,56.15,56.15,65.99,Marketing & HR,69,58,64
24,F,84,ICSE,87,ISC,Commerce,75,Management,0,CAT,1,80,80,72.21,Marketing & Finance,79,67,64
25,M,64,ICSE,69,Others,Science,60,Engineering,0,MAT,1,85,85,55.3,Marketing & HR,54,64,57
26,M,50,CBSE,57,CBSE,Commerce,58,Commerce,0,MAT,1,53.88,53.88,54.97,Marketing & Finance,62,64,64
27,M,56,Others,42,ISC,Science,59,Computer Applications,2,,0,0,0,51.48,Marketing & Finance,50,53,55
28,M,68,CBSE,75,CBSE,Commerce,80,Management,0,MAT,1,82,82,60.44,Marketing & Finance,65,77,57
29,F,79.6,Others,87,ISC,Commerce,72.35,Management,0,K-MAT,1,98.69,98.69,69.78,Marketing & HR,71,67,60
30,M,57,Others,73,Others,Arts,59,Arts,1,MAT,1,75,75,59.81,Marketing & Finance,53,67,62
